"","Illnesses","Hospitalizations","Fatalities","location","food","species","month","state","ingredient"
"1",20,0,0,1,37,7,1,1,6
"2",112,0,0,1,2,7,1,1,6
"3",35,0,0,1,37,7,1,1,6
"4",4,0,0,1,3,2,1,1,6
"5",26,3,0,3,4,3,1,1,6
"6",25,3,0,1,37,4,1,1,6
"7",8,0,0,1,37,7,1,1,6
"8",4,3,0,1,5,3,1,1,6
"9",21,0.905161734342739,0.0187628865979381,1,6,5,1,2,6
"10",3,0.905161734342739,0,1,7,5,1,2,6
"11",8,0.905161734342739,0.0187628865979381,4,37,5,1,2,6
"12",28,0.905161734342739,0,1,37,5,1,2,6
"13",10,0.905161734342739,0.0187628865979381,3,37,5,1,2,6
"14",2,0.905161734342739,0.0187628865979381,1,8,7,1,3,6
"15",3,0,0,1,9,7,1,3,6
"16",3,0,0,1,10,6,1,3,6
"17",2,0.905161734342739,0.0187628865979381,1,11,7,1,3,6
"18",2,0,0,1,12,8,1,3,6
"19",2,0,0,1,13,9,1,3,6
"20",2,2,0,1,14,2,1,3,6
"21",3,1,0,1,15,10,1,3,6
"22",3,0,0,1,16,7,1,3,6
"23",5,0,0,1,17,9,1,3,6
"24",3,0,0,1,18,7,1,3,6
"25",5,0,0,1,19,7,1,3,6
"26",2,0,0,1,20,7,1,3,6
"27",2,0,0,1,21,7,1,3,6
"28",2,1,0,1,22,7,1,3,6
"29",18,5,0,3,23,7,1,3,6
"30",2,0,0,1,20,7,1,3,6
"31",2,0,0,4,24,7,1,3,6
"32",3,0.905161734342739,0.0187628865979381,1,25,10,1,3,6
"33",2,0.905161734342739,0.0187628865979381,3,26,7,1,4,6
"34",47,0,0,1,16,11,1,4,6
"35",3,0,0,3,27,12,1,5,6
"36",2,0,0,3,28,2,1,5,6
"37",2,0,0,1,3,2,1,5,6
"38",4,0,0,1,37,7,1,6,6
"39",11,0,0,1,37,7,1,6,6
"40",4,1,0.0187628865979381,1,37,7,1,6,6
"41",25,3,0,1,37,13,1,7,6
"42",3,0.905161734342739,0,3,29,7,1,8,6
"43",3,0,0,1,8,6,1,8,6
"44",4,0,0,1,30,3,1,8,6
"45",21,0.905161734342739,0.0187628865979381,1,37,14,1,8,6
"46",3,0,0,1,37,9,1,8,6
"47",2,0.905161734342739,0,1,37,7,1,8,6
"48",2,0,0,1,37,7,1,8,6
"49",3,0.905161734342739,0,1,31,7,1,8,6
