"","Year","Illnesses","Hospitalizations","Fatalities","status","location","food","species","month","state","ingredient","serotype.Genotype"
"1",1998,20,0,0,1,1,NA,7,1,1,6,9
"2",1998,112,0,0,1,NA,2,7,1,1,6,9
"3",1998,35,0,0,1,1,NA,7,1,1,6,9
"4",1998,4,0,0,1,1,3,2,1,1,6,9
"5",1998,26,3,0,1,3,4,3,1,1,6,2
"6",1998,25,3,0,1,1,NA,4,1,1,6,9
"7",1998,8,0,0,1,1,NA,7,1,1,6,9
"8",1998,4,3,0,1,1,5,3,1,1,6,2
"9",1998,21,NA,NA,0,1,6,5,1,2,6,9
"10",1998,3,NA,0,0,1,7,5,1,2,6,9
"11",1998,8,NA,NA,0,4,NA,5,1,2,6,9
"12",1998,28,NA,0,0,1,NA,5,1,2,6,9
"13",1998,10,NA,NA,0,3,NA,5,1,2,6,9
"14",1998,2,NA,NA,1,1,8,7,1,3,6,9
"15",1998,3,0,0,1,1,9,7,1,3,6,9
"16",1998,3,0,0,0,1,10,6,1,3,6,9
"17",1998,2,NA,NA,0,1,11,7,1,3,6,9
"18",1998,2,0,0,0,1,12,8,1,3,6,9
"19",1998,2,0,0,0,1,13,9,1,3,6,9
"20",1998,2,2,0,0,1,14,2,1,3,6,9
"21",1998,3,1,0,1,1,15,10,1,3,6,9
"22",1998,3,0,0,1,1,16,7,1,3,6,9
"23",1998,5,0,0,0,1,17,9,1,3,6,9
"24",1998,3,0,0,1,1,18,7,1,3,6,9
"25",1998,5,0,0,1,1,19,7,1,3,6,9
"26",1998,2,0,0,1,1,20,7,1,3,6,9
"27",1998,2,0,0,1,1,21,7,1,3,6,9
"28",1998,2,1,0,1,1,22,7,1,3,6,9
"29",1998,18,5,0,1,3,23,7,1,3,6,9
"30",1998,2,0,0,1,1,20,7,1,3,6,9
"31",1998,2,0,0,1,4,24,7,1,3,6,9
"32",1998,3,NA,NA,0,1,25,10,1,3,6,9
"33",1998,2,NA,NA,1,3,26,7,1,4,6,9
"34",1998,47,0,0,1,1,16,11,1,4,6,9
"35",1998,3,0,0,1,3,27,12,1,5,6,9
"36",1998,2,0,0,1,3,28,2,1,5,6,9
"37",1998,2,0,0,1,1,3,2,1,5,6,9
"38",1998,4,0,0,1,1,NA,7,1,6,6,9
"39",1998,11,0,0,1,NA,NA,7,1,6,6,9
"40",1998,4,1,NA,1,1,NA,7,1,6,6,9
"41",1998,25,3,0,1,1,NA,13,1,7,6,3
"42",1998,3,NA,0,1,3,29,7,1,8,6,9
"43",1998,3,0,0,0,1,8,6,1,8,6,9
"44",1998,4,0,0,1,1,30,3,1,8,6,2
"45",1998,21,NA,NA,1,1,NA,14,1,8,6,9
"46",1998,3,0,0,0,1,NA,9,1,8,6,9
"47",1998,2,NA,0,1,1,NA,7,1,8,6,9
"48",1998,2,0,0,1,1,NA,7,1,8,6,9
"49",1998,3,NA,0,1,1,31,7,1,8,6,9
"50",1998,8,0,0,1,1,32,3,1,8,6,2
"51",1998,5,1,0,1,3,8,3,1,8,6,4
"52",1998,4,0,0,0,1,33,6,1,8,6,9
"53",1998,4,0,0,1,1,NA,7,1,8,6,9
"54",1998,79,6,0,1,1,34,15,1,9,6,9
"55",1998,115,0,0,1,NA,NA,7,1,9,6,9
"56",1998,2,NA,NA,1,NA,35,7,1,10,6,9
"57",1998,6,NA,NA,1,NA,36,7,1,10,6,9
"58",1998,5,NA,NA,1,NA,37,7,1,10,6,9
"59",1998,2,NA,NA,1,1,38,7,1,10,6,9
"60",1998,133,NA,NA,1,NA,NA,7,1,10,6,9
"61",1998,47,NA,NA,1,1,NA,7,1,10,6,9
"62",1998,4,NA,0,1,1,12,7,1,10,6,9
"63",1998,5,0,0,1,1,39,7,1,10,6,9
"64",1998,2,0,0,1,NA,40,7,1,10,6,9
"65",1998,3,3,0,1,1,41,7,1,10,6,9
"66",1998,19,NA,NA,1,1,42,7,1,10,6,9
"67",1998,3,NA,NA,1,1,43,7,1,10,6,9
"68",1998,19,0,0,1,NA,NA,15,1,11,6,9
"69",1998,16,0,0,1,1,44,7,1,11,6,9
"70",1998,4,0,0,1,3,45,3,1,12,6,2
"71",1998,3,1,0,1,1,NA,3,1,13,6,5
"72",1998,2,NA,NA,1,NA,46,3,1,13,6,6
"73",1998,26,0,0,1,5,47,7,1,13,6,9
"74",1998,8,NA,NA,0,5,NA,7,1,14,6,9
"75",1998,2,0,0,1,1,NA,7,1,15,6,9
"76",1998,3,0,0,1,1,NA,7,1,15,6,9
"77",1998,2,0,0,1,1,NA,7,1,15,6,9
"78",1998,2,0,0,1,1,NA,7,1,15,6,9
"79",1998,4,NA,NA,1,1,48,7,1,15,6,9
"80",1998,2,NA,NA,1,NA,NA,4,1,16,6,9
"81",1998,8,0,0,1,NA,49,3,1,16,6,4
"82",1998,23,0,0,1,NA,50,7,1,17,6,9
"83",1998,4,2,0,1,6,51,3,1,17,6,2
"84",1998,16,0,0,1,1,16,7,1,17,6,9
"85",1998,17,0,0,1,1,NA,7,1,17,6,9
"86",1998,218,NA,NA,0,NA,52,8,1,18,6,9
"87",1998,13,0,0,1,1,NA,7,1,19,6,9
"88",1998,3,0,0,1,1,NA,7,1,20,6,9
"89",1998,3,0,0,1,1,NA,7,1,20,6,9
"90",1998,34,0,0,1,5,53,6,1,21,6,9
"91",1998,10,1,0,1,1,54,3,2,1,6,2
"92",1998,11,NA,NA,0,1,55,5,2,2,6,9
"93",1998,10,0,0,1,1,56,6,2,2,6,9
"94",1998,6,NA,0,0,1,57,5,2,2,6,9
"95",1998,10,NA,NA,1,1,58,3,2,22,2,2
"96",1998,38,NA,0,1,7,59,7,2,22,6,9
"97",1998,39,0,0,0,1,60,7,2,3,6,9
"98",1998,3,0,0,0,1,61,6,2,3,6,9
"99",1998,8,0,0,1,NA,62,7,2,3,6,9
"100",1998,3,0,0,0,1,63,6,2,3,6,9
"101",1998,6,0,0,1,1,64,7,2,3,6,9
"102",1998,2,1,0,1,1,65,7,2,3,6,9
"103",1998,4,0,0,1,4,66,7,2,3,6,9
"104",1998,35,1,NA,0,5,67,7,2,3,6,9
"105",1998,18,0,0,0,NA,68,8,2,3,6,9
"106",1998,2,0,0,1,NA,62,7,2,3,6,9
"107",1998,8,0,0,0,1,NA,8,2,3,6,9
"108",1998,3,0,0,1,8,69,7,2,3,6,9
"109",1998,5,0,0,1,1,NA,7,2,3,6,9
"110",1998,2,0,0,1,1,70,7,2,3,6,9
"111",1998,4,0,0,0,NA,10,9,2,3,6,9
"112",1998,2,0,0,1,1,10,7,2,3,6,9
"113",1998,50,1,0,0,5,71,9,2,3,6,9
"114",1998,2,NA,0,1,1,72,7,2,3,6,9
"115",1998,43,0,0,0,1,71,9,2,3,6,9
"116",1998,15,0,0,0,1,73,9,2,3,6,9
"117",1998,4,0,0,1,1,74,7,2,3,6,9
"118",1998,3,2,0,1,1,75,7,2,3,6,9
"119",1998,3,0,0,1,1,74,7,2,3,6,9
"120",1998,33,0,0,1,1,NA,7,2,6,6,9
"121",1998,101,0,0,1,NA,76,8,2,7,6,9
"122",1998,9,0,0,1,1,77,7,2,7,6,9
"123",1998,8,0,0,1,1,NA,7,2,8,6,9
"124",1998,3,NA,NA,1,1,NA,7,2,8,6,9
"125",1998,6,NA,NA,1,1,15,7,2,8,6,9
"126",1998,2,NA,NA,1,1,78,7,2,8,6,9
"127",1998,2,NA,NA,1,1,NA,7,2,8,6,9
"128",1998,17,0,0,1,1,NA,7,2,8,6,9
"129",1998,3,NA,NA,1,1,79,7,2,10,6,9
"130",1998,5,NA,NA,1,1,80,7,2,10,6,9
"131",1998,5,NA,NA,1,1,81,7,2,10,6,9
"132",1998,4,NA,NA,1,1,82,7,2,10,6,9
"133",1998,8,NA,NA,1,1,83,7,2,10,6,9
"134",1998,20,NA,NA,1,5,16,7,2,10,6,9
"135",1998,4,0,0,1,1,42,7,2,10,6,9
"136",1998,2,0,0,1,1,84,7,2,10,6,9
"137",1998,13,0,0,1,9,NA,7,2,11,6,9
"138",1998,16,0,0,1,7,29,16,2,11,6,9
"139",1998,12,NA,NA,1,1,NA,7,2,23,6,9
"140",1998,45,0,0,1,1,85,6,2,24,6,9
"141",1998,16,NA,NA,1,5,NA,7,2,25,6,9
"142",1998,10,6,0,1,1,NA,13,2,26,6,7
"143",1998,8,0,0,1,1,NA,7,2,13,6,9
"144",1998,23,NA,NA,1,5,86,7,2,13,6,9
"145",1998,17,0,0,1,5,NA,7,2,13,6,9
"146",1998,17,1,0,1,5,NA,7,2,13,6,9
"147",1998,18,NA,NA,1,5,NA,7,2,13,6,9
"148",1998,9,0,0,1,1,87,17,2,13,6,9
"149",1998,9,NA,NA,1,5,NA,10,2,14,6,9
"150",1998,9,NA,0,1,1,88,7,2,14,6,9
"151",1998,2,1,0,1,1,89,7,2,15,6,9
"152",1998,3,0,0,1,1,NA,7,2,15,6,9
"153",1998,4,NA,NA,1,1,NA,7,2,15,6,9
"154",1998,25,NA,NA,1,5,90,7,2,15,6,9
"155",1998,2,0,0,1,3,91,7,2,15,6,9
"156",1998,2,0,0,1,1,NA,7,2,15,6,9
"157",1998,3,0,0,1,1,NA,7,2,15,6,9
"158",1998,4,0,0,1,1,NA,7,2,15,6,9
"159",1998,4,0,0,1,1,NA,7,2,15,6,9
"160",1998,3,1,0,1,1,92,7,2,15,6,9
"161",1998,2,0,0,1,1,NA,7,2,15,6,9
"162",1998,4,0,0,1,3,93,7,2,16,3,9
"163",1998,29,2,0,0,10,NA,7,2,16,6,9
"164",1998,38,0,0,1,1,94,7,2,16,6,9
"165",1998,15,0,0,1,1,95,7,2,16,6,9
"166",1998,20,0,0,1,1,96,7,2,17,6,9
"167",1998,11,0,0,1,1,97,7,2,17,6,9
"168",1998,20,0,0,1,1,98,7,2,17,6,9
"169",1998,6,2,0,1,1,NA,3,2,17,6,8
"170",1998,15,0,0,1,1,NA,7,2,17,6,9
"171",1998,2,NA,NA,1,NA,NA,7,2,18,6,9
"172",1998,5,NA,NA,1,11,NA,7,2,18,6,9
"173",1998,22,NA,NA,0,1,99,8,2,18,6,9
"174",1998,94,NA,1,1,1,NA,14,2,18,6,9
"175",1998,4,0,0,1,1,NA,7,2,20,6,9
"176",1998,2,0,0,1,1,NA,7,2,20,6,9
"177",1998,3,0,0,1,1,NA,7,2,20,6,9
"178",1998,3,2,0,1,1,NA,7,3,27,6,9
"179",1998,2,0,0,1,1,NA,7,3,27,6,9
"180",1998,4,4,NA,1,4,100,18,3,28,4,9
"181",1998,26,NA,NA,1,1,NA,3,3,1,6,2
"182",1998,5,1,0,1,NA,101,7,3,1,6,9
"183",1998,4,0,0,1,1,102,3,3,1,6,2
"184",1998,7,0,0,1,3,NA,7,3,1,6,9
"185",1998,6,1,0,1,3,103,3,3,1,6,2
"186",1998,48,0,0,1,3,104,6,3,1,6,9
"187",1998,6,0,0,1,1,3,2,3,1,6,9
"188",1998,23,NA,NA,0,1,NA,5,3,2,6,9
"189",1998,14,NA,NA,0,12,105,7,3,3,6,9
"190",1998,11,0,0,1,1,106,7,3,3,6,9
"191",1998,2,0,0,1,1,89,7,3,3,6,9
"192",1998,2,0,0,0,1,107,8,3,3,6,9
"193",1998,3,0,0,1,1,108,7,3,3,6,9
"194",1998,2,0,0,1,1,37,7,3,3,6,9
"195",1998,2,2,0,1,1,109,7,3,3,6,9
"196",1998,2,0,0,0,1,110,3,3,3,6,9
"197",1998,3,0,0,1,1,111,7,3,3,6,9
"198",1998,2,NA,0,1,1,112,7,3,3,6,9
"199",1998,2,0,0,1,1,113,7,3,3,6,9
"200",1998,24,0,0,0,1,114,7,3,3,6,9
"201",1998,2,0,0,1,1,12,7,3,3,6,9
"202",1998,3,1,0,1,1,108,7,3,3,6,9
"203",1998,2,0,0,0,1,115,8,3,3,6,9
"204",1998,4,0,0,1,1,116,7,3,3,6,9
"205",1998,2,0,0,1,1,115,7,3,3,6,9
"206",1998,3,2,0,1,1,NA,7,3,3,6,9
"207",1998,2,NA,0,1,1,117,7,3,3,6,9
"208",1998,2,0,0,0,NA,118,9,3,3,6,9
"209",1998,2,0,0,1,1,NA,7,3,3,6,9
"210",1998,4,0,0,0,1,16,3,3,3,6,2
"211",1998,7,0,0,0,1,82,7,3,3,6,9
"212",1998,2,0,0,1,1,119,7,3,3,6,9
"213",1998,3,0,0,0,1,54,3,3,3,6,9
"214",1998,8,0,0,0,1,82,7,3,3,6,9
"215",1998,2,1,0,1,7,62,3,3,3,6,2
"216",1998,3,0,0,0,1,15,8,3,3,6,9
"217",1998,3,0,0,1,1,NA,7,3,3,6,9
"218",1998,3,0,0,1,1,120,7,3,3,6,9
"219",1998,2,0,0,0,1,113,3,3,3,6,9
"220",1998,2,0,0,1,1,121,7,3,3,6,9
"221",1998,2,0,0,1,3,122,7,3,3,6,9
"222",1998,18,0,0,0,3,123,6,3,3,6,9
"223",1998,44,0,0,1,7,NA,7,3,3,6,9
"224",1998,4,0,0,1,1,NA,10,3,3,6,9
"225",1998,4,0,0,1,1,124,7,3,3,6,9
"226",1998,2,0,0,1,3,125,12,3,5,6,9
"227",1998,39,0,0,1,1,126,7,3,5,6,9
"228",1998,2,0,0,1,1,127,2,3,5,6,9
"229",1998,6,0,0,1,1,NA,7,3,6,6,9
"230",1998,2,0,0,1,1,128,3,3,6,6,2
"231",1998,103,1,0,1,1,129,19,3,6,6,9
"232",1998,3,0,0,1,1,NA,7,3,6,6,9
"233",1998,9,0,0,1,1,NA,7,3,6,6,9
"234",1998,11,1,NA,1,1,130,7,3,8,6,9
"235",1998,5,NA,NA,1,13,NA,14,3,8,6,9
"236",1998,26,0,0,0,6,131,7,3,8,6,9
"237",1998,3,NA,NA,1,1,NA,7,3,8,6,9
"238",1998,3,0,0,1,1,132,7,3,8,6,9
"239",1998,3,0,0,1,NA,NA,7,3,8,6,9
"240",1998,3,0,0,1,1,NA,7,3,8,6,9
"241",1998,2,0,0,1,1,16,7,3,8,6,9
"242",1998,6,NA,NA,1,1,NA,3,3,9,6,4
"243",1998,3,NA,NA,1,1,133,7,3,10,6,9
"244",1998,2,NA,NA,1,1,134,7,3,10,6,9
"245",1998,5,NA,NA,1,1,42,7,3,10,6,9
"246",1998,11,NA,NA,1,NA,NA,7,3,10,6,9
"247",1998,2,0,0,1,1,135,7,3,10,6,9
"248",1998,2,1,0,1,1,136,7,3,10,6,9
"249",1998,3,NA,NA,1,NA,137,7,3,10,6,9
"250",1998,15,0,0,1,1,138,7,3,10,6,9
"251",1998,30,1,0,1,1,139,15,3,11,6,9
"252",1998,7,0,0,1,1,140,7,3,11,6,9
"253",1998,4,0,0,1,1,NA,7,3,11,6,9
"254",1998,12,NA,NA,1,5,NA,7,3,25,6,9
"255",1998,20,3,0,1,1,141,8,3,29,6,9
"256",1998,17,0,0,1,1,37,7,3,13,6,9
"257",1998,5,NA,NA,1,1,16,7,3,13,6,9
"258",1998,47,NA,NA,1,NA,37,7,3,13,6,9
"259",1998,14,0,0,1,1,6,7,3,13,6,9
"260",1998,9,0,0,1,1,NA,7,3,13,6,9
"261",1998,9,NA,NA,1,NA,NA,3,3,14,6,9
"262",1998,75,NA,NA,1,14,138,7,3,14,6,9
"263",1998,2,0,0,1,1,17,7,3,15,6,9
"264",1998,8,1,0,1,3,NA,7,3,15,6,9
"265",1998,3,0,0,1,NA,NA,7,3,15,6,9
"266",1998,5,0,0,1,NA,NA,7,3,15,6,9
"267",1998,49,0,0,1,NA,NA,7,3,15,6,9
"268",1998,7,NA,NA,1,NA,NA,3,3,15,6,4
"269",1998,5,0,0,1,1,NA,7,3,15,6,9
"270",1998,7,NA,0,1,1,NA,7,3,15,6,9
"271",1998,2,0,0,1,1,NA,7,3,15,6,9
"272",1998,3,0,0,1,1,55,7,3,15,6,9
"273",1998,4,1,0,1,1,128,3,3,15,6,10
"274",1998,28,1,0,0,1,NA,7,3,16,6,9
"275",1998,5,0,0,1,1,17,8,3,16,6,9
"276",1998,16,0,0,1,NA,NA,7,3,17,6,9
