"","Year","Month","State","Location","Food","Ingredient","Species","Serotype.Genotype","Status","Illnesses","Hospitalizations","Fatalities","location","food","species"
"1",1998,"January","California","Restaurant","","","","","",20,0,0,"1","NA","NA"
"2",1998,"January","California","","Custard","","","","",112,0,0,"NA","2","NA"
"3",1998,"January","California","Restaurant","","","","","",35,0,0,"1","NA","NA"
"4",1998,"January","California","Restaurant","Fish, Ahi","","Scombroid toxin","","Confirmed",4,0,0,"1","3","2"
"5",1998,"January","California","Private Home/Residence","Lasagna, Unspecified; Eggs, Other","","Salmonella enterica","Enteritidis","Confirmed",26,3,0,"3","4","3"
"6",1998,"January","California","Restaurant","","","Shigella boydii","","Confirmed",25,3,0,"1","NA","4"
"7",1998,"January","California","Restaurant","","","","","",8,0,0,"1","NA","NA"
"8",1998,"January","California","Restaurant","Stuffing, Unspecified; Sandwich, Turkey","","Salmonella enterica","Enteritidis","Confirmed",4,3,0,"1","5","3"
"9",1998,"January","Colorado","Restaurant","Salad, Unspecified","","Virus","","Suspected",21,NA,NA,"1","6","5"
"10",1998,"January","Colorado","Restaurant","Peppers, Chili","","Virus","","Suspected",3,NA,0,"1","7","5"
"11",1998,"January","Colorado","Grocery Store","","","Virus","","Suspected",8,NA,NA,"4","NA","5"
"12",1998,"January","Colorado","Restaurant","","","Virus","","Suspected",28,NA,0,"1","NA","5"
"13",1998,"January","Colorado","Private Home/Residence","","","Virus","","Suspected",10,NA,NA,"3","NA","5"
"14",1998,"January","Florida","Restaurant","Chicken Salad","","","","",2,NA,NA,"1","8","NA"
"15",1998,"January","Florida","Restaurant","Hot Dog, Kielbasa","","","","",3,0,0,"1","9","NA"
"16",1998,"January","Florida","Restaurant","Ethnic Style, Unspecified","","Clostridium perfringens","","Suspected",3,0,0,"1","10","6"
"17",1998,"January","Florida","Restaurant","Greek Salad","","Norovirus genogroup I","","Suspected",2,NA,NA,"1","11","7"
"18",1998,"January","Florida","Restaurant","Ground Beef, Cheeseburger","","Staphylococcus aureus","","Suspected",2,0,0,"1","12","8"
"19",1998,"January","Florida","Restaurant","Pasta, Unspecified","","Bacillus cereus","","Suspected",2,0,0,"1","13","9"
"20",1998,"January","Florida","Restaurant","Sauces, Unspecified; Tuna, Unspecified","","Scombroid toxin","","Suspected",2,2,0,"1","14","2"
"21",1998,"January","Florida","Restaurant","Sandwich, Chicken","","Campylobacter unknown","","Confirmed",3,1,0,"1","15","10"
"22",1998,"January","Florida","Restaurant","Chicken, Unspecified","","","","",3,0,0,"1","16","NA"
"23",1998,"January","Florida","Restaurant","Chicken, Fried","","Bacillus cereus","","Suspected",5,0,0,"1","17","9"
"24",1998,"January","Florida","Restaurant","Doughnuts, Unspecified","","","","",3,0,0,"1","18","NA"
"25",1998,"January","Florida","Restaurant","Tomato Sauce, Unspecified","","","","",5,0,0,"1","19","NA"
"26",1998,"January","Florida","Restaurant","Steak, Unspecified","","","","",2,0,0,"1","20","NA"
