"","Year","Month","State","Location","Food","Ingredient","Species","Serotype.Genotype","Status","Illnesses","Hospitalizations","Fatalities"
"1",1998,"January","California","Restaurant","","","","","",20,0,0
"2",1998,"January","California","","Custard","","","","",112,0,0
"3",1998,"January","California","Restaurant","","","","","",35,0,0
"4",1998,"January","California","Restaurant","Fish, Ahi","","Scombroid toxin","","Confirmed",4,0,0
"5",1998,"January","California","Private Home/Residence","Lasagna, Unspecified; Eggs, Other","","Salmonella enterica","Enteritidis","Confirmed",26,3,0
"6",1998,"January","California","Restaurant","","","Shigella boydii","","Confirmed",25,3,0
"7",1998,"January","California","Restaurant","","","","","",8,0,0
"8",1998,"January","California","Restaurant","Stuffing, Unspecified; Sandwich, Turkey","","Salmonella enterica","Enteritidis","Confirmed",4,3,0
"9",1998,"January","Colorado","Restaurant","Salad, Unspecified","","Virus","","Suspected",21,NA,NA
"10",1998,"January","Colorado","Restaurant","Peppers, Chili","","Virus","","Suspected",3,NA,0
"11",1998,"January","Colorado","Grocery Store","","","Virus","","Suspected",8,NA,NA
"12",1998,"January","Colorado","Restaurant","","","Virus","","Suspected",28,NA,0
"13",1998,"January","Colorado","Private Home/Residence","","","Virus","","Suspected",10,NA,NA
"14",1998,"January","Florida","Restaurant","Chicken Salad","","","","",2,NA,NA
"15",1998,"January","Florida","Restaurant","Hot Dog, Kielbasa","","","","",3,0,0
"16",1998,"January","Florida","Restaurant","Ethnic Style, Unspecified","","Clostridium perfringens","","Suspected",3,0,0
"17",1998,"January","Florida","Restaurant","Greek Salad","","Norovirus genogroup I","","Suspected",2,NA,NA
"18",1998,"January","Florida","Restaurant","Ground Beef, Cheeseburger","","Staphylococcus aureus","","Suspected",2,0,0
"19",1998,"January","Florida","Restaurant","Pasta, Unspecified","","Bacillus cereus","","Suspected",2,0,0
"20",1998,"January","Florida","Restaurant","Sauces, Unspecified; Tuna, Unspecified","","Scombroid toxin","","Suspected",2,2,0
"21",1998,"January","Florida","Restaurant","Sandwich, Chicken","","Campylobacter unknown","","Confirmed",3,1,0
"22",1998,"January","Florida","Restaurant","Chicken, Unspecified","","","","",3,0,0
"23",1998,"January","Florida","Restaurant","Chicken, Fried","","Bacillus cereus","","Suspected",5,0,0
"24",1998,"January","Florida","Restaurant","Doughnuts, Unspecified","","","","",3,0,0
"25",1998,"January","Florida","Restaurant","Tomato Sauce, Unspecified","","","","",5,0,0
"26",1998,"January","Florida","Restaurant","Steak, Unspecified","","","","",2,0,0
"27",1998,"January","Florida","Restaurant","Unknown Food","","","","",2,0,0
"28",1998,"January","Florida","Restaurant","Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified","","","","",2,1,0
"29",1998,"January","Florida","Private Home/Residence","Turkey, Unspecified","","","","",18,5,0
"30",1998,"January","Florida","Restaurant","Steak, Unspecified","","","","",2,0,0
"31",1998,"January","Florida","Grocery Store","Pork, Unspecified","","","","",2,0,0
"32",1998,"January","Florida","Restaurant","Salmon, Raw; Tuna, Raw","","Campylobacter unknown","","Suspected",3,NA,NA
"33",1998,"January","Guam","Private Home/Residence","Other Milk, Unspecified","","","","",2,NA,NA
"34",1998,"January","Guam","Restaurant","Chicken, Unspecified","","Vibrio parahaemolyticus","","Confirmed",47,0,0
"35",1998,"January","Hawaii","Private Home/Residence","Fish, Grouper, Unspecified","","Ciguatoxin","","Confirmed",3,0,0
"36",1998,"January","Hawaii","Private Home/Residence","Fish, Mahi Mahi","","Scombroid toxin","","Confirmed",2,0,0
