"","Location","Food","Status"
"1","Restaurant","",1
"2","","Custard",1
"3","Restaurant","",1
"4","Restaurant","Fish/ Ahi",1
"5","Private Home/Residence","Lasagna/ Unspecified/ Eggs/ Other",1
"6","Restaurant","",1
"7","Restaurant","",1
"8","Restaurant","Stuffing/ Unspecified/ Sandwich/ Turkey",1
"9","Restaurant","Salad/ Unspecified",0
"10","Restaurant","Peppers/ Chili",0
"11","Grocery Store","",0
"12","Restaurant","",0
"13","Private Home/Residence","",0
"14","Restaurant","Chicken Salad",1
"15","Restaurant","Hot Dog/ Kielbasa",1
"16","Restaurant","Ethnic Style/ Unspecified",0
"17","Restaurant","Greek Salad",0
"18","Restaurant","Ground Beef/ Cheeseburger",0
"19","Restaurant","Pasta/ Unspecified",0
"20","Restaurant","Sauces/ Unspecified/ Tuna/ Unspecified",0
"21","Restaurant","Sandwich/ Chicken",1
"22","Restaurant","Chicken/ Unspecified",1
"23","Restaurant","Chicken/ Fried",0
"24","Restaurant","Doughnuts/ Unspecified",1
"25","Restaurant","Tomato Sauce/ Unspecified",1
"26","Restaurant","Steak/ Unspecified",1
"27","Restaurant","Unknown Food",1
"28","Restaurant","Chicken/ Nuggets/Fingers/ French Fries/ Soda/ Unspecified",1
"29","Private Home/Residence","Turkey/ Unspecified",1
"30","Restaurant","Steak/ Unspecified",1
"31","Grocery Store","Pork/ Unspecified",1
"32","Restaurant","Salmon/ Raw/ Tuna/ Raw",0
"33","Private Home/Residence","Other Milk/ Unspecified",1
"34","Restaurant","Chicken/ Unspecified",1
"35","Private Home/Residence","Fish/ Grouper/ Unspecified",1
"36","Private Home/Residence","Fish/ Mahi Mahi",1
"37","Restaurant","Fish/ Ahi",1
"38","Restaurant","",1
"39","","",1
"40","Restaurant","",1
"41","Restaurant","",1
"42","Private Home/Residence","Ground Beef/ Unspecified",1
"43","Restaurant","Chicken Salad",0
"44","Restaurant","Burrito/ Chicken",1
"45","Restaurant","",1
"46","Restaurant","",0
"47","Restaurant","",1
"48","Restaurant","",1
