,Year,Illnesses,Hospitalizations,Fatalities,status,month,state,location,species,ingredient,serotype.Genotype,food
1,1998,20,0,0,1,1,1,1,NA,NA,NA,NA
2,1998,112,0,0,1,1,1,NA,NA,NA,NA,2
3,1998,35,0,0,1,1,1,1,NA,NA,NA,NA
4,1998,4,0,0,1,1,1,1,2,NA,NA,3
5,1998,26,3,0,1,1,1,3,3,NA,2,4
6,1998,25,3,0,1,1,1,1,4,NA,NA,NA
7,1998,8,0,0,1,1,1,1,NA,NA,NA,NA
8,1998,4,3,0,1,1,1,1,3,NA,2,5
9,1998,21,NA,NA,2,1,2,1,5,NA,NA,6
10,1998,3,NA,0,2,1,2,1,5,NA,NA,7
11,1998,8,NA,NA,2,1,2,4,5,NA,NA,NA
12,1998,28,NA,0,2,1,2,1,5,NA,NA,NA
13,1998,10,NA,NA,2,1,2,3,5,NA,NA,NA
14,1998,2,NA,NA,1,1,3,1,NA,NA,NA,8
15,1998,3,0,0,1,1,3,1,NA,NA,NA,9
16,1998,3,0,0,2,1,3,1,6,NA,NA,10
17,1998,2,NA,NA,2,1,3,1,7,NA,NA,11
18,1998,2,0,0,2,1,3,1,8,NA,NA,12
19,1998,2,0,0,2,1,3,1,9,NA,NA,13
20,1998,2,2,0,2,1,3,1,2,NA,NA,14
21,1998,3,1,0,1,1,3,1,10,NA,NA,15
22,1998,3,0,0,1,1,3,1,NA,NA,NA,16
23,1998,5,0,0,2,1,3,1,9,NA,NA,17
24,1998,3,0,0,1,1,3,1,NA,NA,NA,18
25,1998,5,0,0,1,1,3,1,NA,NA,NA,19
26,1998,2,0,0,1,1,3,1,NA,NA,NA,20
27,1998,2,0,0,1,1,3,1,NA,NA,NA,21
28,1998,2,1,0,1,1,3,1,NA,NA,NA,22
29,1998,18,5,0,1,1,3,3,NA,NA,NA,23
30,1998,2,0,0,1,1,3,1,NA,NA,NA,20
31,1998,2,0,0,1,1,3,4,NA,NA,NA,24
32,1998,3,NA,NA,2,1,3,1,10,NA,NA,25
33,1998,2,NA,NA,1,1,4,3,NA,NA,NA,26
34,1998,47,0,0,1,1,4,1,11,NA,NA,16
35,1998,3,0,0,1,1,5,3,12,NA,NA,27
36,1998,2,0,0,1,1,5,3,2,NA,NA,28
37,1998,2,0,0,1,1,5,1,2,NA,NA,3
38,1998,4,0,0,1,1,6,1,NA,NA,NA,NA
39,1998,11,0,0,1,1,6,NA,NA,NA,NA,NA
40,1998,4,1,NA,1,1,6,1,NA,NA,NA,NA
41,1998,25,3,0,1,1,7,1,13,NA,3,NA
42,1998,3,NA,0,1,1,8,3,NA,NA,NA,29
43,1998,3,0,0,2,1,8,1,6,NA,NA,8
44,1998,4,0,0,1,1,8,1,3,NA,2,30
45,1998,21,NA,NA,1,1,8,1,14,NA,NA,NA
46,1998,3,0,0,2,1,8,1,9,NA,NA,NA
47,1998,2,NA,0,1,1,8,1,NA,NA,NA,NA
48,1998,2,0,0,1,1,8,1,NA,NA,NA,NA
49,1998,3,NA,0,1,1,8,1,NA,NA,NA,31
50,1998,8,0,0,1,1,8,1,3,NA,2,32
51,1998,5,1,0,1,1,8,3,3,NA,4,8
52,1998,4,0,0,2,1,8,1,6,NA,NA,33
53,1998,4,0,0,1,1,8,1,NA,NA,NA,NA
54,1998,79,6,0,1,1,9,1,15,NA,NA,34
55,1998,115,0,0,1,1,9,NA,NA,NA,NA,NA
56,1998,2,NA,NA,1,1,10,NA,NA,NA,NA,35
57,1998,6,NA,NA,1,1,10,NA,NA,NA,NA,36
58,1998,5,NA,NA,1,1,10,NA,NA,NA,NA,37
59,1998,2,NA,NA,1,1,10,1,NA,NA,NA,38
60,1998,133,NA,NA,1,1,10,NA,NA,NA,NA,NA
61,1998,47,NA,NA,1,1,10,1,NA,NA,NA,NA
62,1998,4,NA,0,1,1,10,1,NA,NA,NA,12
63,1998,5,0,0,1,1,10,1,NA,NA,NA,39
64,1998,2,0,0,1,1,10,NA,NA,NA,NA,40
65,1998,3,3,0,1,1,10,1,NA,NA,NA,41
66,1998,19,NA,NA,1,1,10,1,NA,NA,NA,42
67,1998,3,NA,NA,1,1,10,1,NA,NA,NA,43
68,1998,19,0,0,1,1,11,NA,15,NA,NA,NA
69,1998,16,0,0,1,1,11,1,NA,NA,NA,44
70,1998,4,0,0,1,1,12,3,3,NA,2,45
71,1998,3,1,0,1,1,13,1,3,NA,5,NA
72,1998,2,NA,NA,1,1,13,NA,3,NA,6,46
73,1998,26,0,0,1,1,13,5,NA,NA,NA,47
74,1998,8,NA,NA,2,1,14,5,7,NA,NA,NA
75,1998,2,0,0,1,1,15,1,NA,NA,NA,NA
76,1998,3,0,0,1,1,15,1,NA,NA,NA,NA
77,1998,2,0,0,1,1,15,1,NA,NA,NA,NA
78,1998,2,0,0,1,1,15,1,NA,NA,NA,NA
79,1998,4,NA,NA,1,1,15,1,NA,NA,NA,48
80,1998,2,NA,NA,1,1,16,NA,4,NA,NA,NA
81,1998,8,0,0,1,1,16,NA,3,NA,4,49
82,1998,23,0,0,1,1,17,NA,NA,NA,NA,50
83,1998,4,2,0,1,1,17,6,3,NA,2,51
84,1998,16,0,0,1,1,17,1,NA,NA,NA,16
85,1998,17,0,0,1,1,17,1,NA,NA,NA,NA
86,1998,218,NA,NA,2,1,18,NA,8,NA,NA,52
87,1998,13,0,0,1,1,19,1,NA,NA,NA,NA
88,1998,3,0,0,1,1,20,1,NA,NA,NA,NA
89,1998,3,0,0,1,1,20,1,NA,NA,NA,NA
90,1998,34,0,0,1,1,21,5,6,NA,NA,53
91,1998,10,1,0,1,2,1,1,3,NA,2,54
92,1998,11,NA,NA,2,2,2,1,5,NA,NA,55
93,1998,10,0,0,1,2,2,1,6,NA,NA,56
94,1998,6,NA,0,2,2,2,1,5,NA,NA,57
95,1998,10,NA,NA,1,2,22,1,3,2,2,58
96,1998,38,NA,0,1,2,22,7,NA,NA,NA,59
97,1998,39,0,0,2,2,3,1,7,NA,NA,60
98,1998,3,0,0,2,2,3,1,6,NA,NA,61
99,1998,8,0,0,1,2,3,NA,NA,NA,NA,62
100,1998,3,0,0,2,2,3,1,6,NA,NA,63
101,1998,6,0,0,1,2,3,1,NA,NA,NA,64
102,1998,2,1,0,1,2,3,1,NA,NA,NA,65
103,1998,4,0,0,1,2,3,4,NA,NA,NA,66
104,1998,35,1,NA,2,2,3,5,7,NA,NA,67
105,1998,18,0,0,2,2,3,NA,8,NA,NA,68
106,1998,2,0,0,1,2,3,NA,NA,NA,NA,62
107,1998,8,0,0,2,2,3,1,8,NA,NA,NA
108,1998,3,0,0,1,2,3,8,NA,NA,NA,69
109,1998,5,0,0,1,2,3,1,NA,NA,NA,NA
110,1998,2,0,0,1,2,3,1,NA,NA,NA,70
111,1998,4,0,0,2,2,3,NA,9,NA,NA,10
112,1998,2,0,0,1,2,3,1,NA,NA,NA,10
113,1998,50,1,0,2,2,3,5,9,NA,NA,71
114,1998,2,NA,0,1,2,3,1,NA,NA,NA,72
115,1998,43,0,0,2,2,3,1,9,NA,NA,71
116,1998,15,0,0,2,2,3,1,9,NA,NA,73
117,1998,4,0,0,1,2,3,1,NA,NA,NA,74
118,1998,3,2,0,1,2,3,1,NA,NA,NA,75
119,1998,3,0,0,1,2,3,1,NA,NA,NA,74
120,1998,33,0,0,1,2,6,1,NA,NA,NA,NA
121,1998,101,0,0,1,2,7,NA,8,NA,NA,76
122,1998,9,0,0,1,2,7,1,NA,NA,NA,77
123,1998,8,0,0,1,2,8,1,NA,NA,NA,NA
124,1998,3,NA,NA,1,2,8,1,NA,NA,NA,NA
125,1998,6,NA,NA,1,2,8,1,NA,NA,NA,15
126,1998,2,NA,NA,1,2,8,1,NA,NA,NA,78
127,1998,2,NA,NA,1,2,8,1,NA,NA,NA,NA
128,1998,17,0,0,1,2,8,1,NA,NA,NA,NA
129,1998,3,NA,NA,1,2,10,1,NA,NA,NA,79
130,1998,5,NA,NA,1,2,10,1,NA,NA,NA,80
131,1998,5,NA,NA,1,2,10,1,NA,NA,NA,81
132,1998,4,NA,NA,1,2,10,1,NA,NA,NA,82
133,1998,8,NA,NA,1,2,10,1,NA,NA,NA,83
134,1998,20,NA,NA,1,2,10,5,NA,NA,NA,16
135,1998,4,0,0,1,2,10,1,NA,NA,NA,42
136,1998,2,0,0,1,2,10,1,NA,NA,NA,84
137,1998,13,0,0,1,2,11,9,7,NA,NA,NA
138,1998,16,0,0,2,2,11,7,16,NA,NA,29
139,1998,12,NA,NA,1,2,23,1,NA,NA,NA,NA
140,1998,45,0,0,1,2,24,1,6,NA,NA,85
141,1998,16,NA,NA,1,2,25,5,NA,NA,NA,NA
142,1998,10,6,0,1,2,26,1,13,NA,7,NA
143,1998,8,0,0,1,2,13,1,NA,NA,NA,NA
144,1998,23,NA,NA,1,2,13,5,NA,NA,NA,86
145,1998,17,0,0,1,2,13,5,NA,NA,NA,NA
146,1998,17,1,0,1,2,13,5,NA,NA,NA,NA
147,1998,18,NA,NA,1,2,13,5,NA,NA,NA,NA
148,1998,9,0,0,1,2,13,1,17,NA,NA,87
149,1998,9,NA,NA,1,2,14,5,10,NA,NA,NA
150,1998,9,NA,0,1,2,14,1,NA,NA,NA,88
151,1998,2,1,0,1,2,15,1,NA,NA,NA,89
152,1998,3,0,0,1,2,15,1,NA,NA,NA,NA
153,1998,4,NA,NA,1,2,15,1,NA,NA,NA,NA
154,1998,25,NA,NA,1,2,15,5,NA,NA,NA,90
155,1998,2,0,0,1,2,15,3,NA,NA,NA,91
156,1998,2,0,0,1,2,15,1,NA,NA,NA,NA
157,1998,3,0,0,1,2,15,1,NA,NA,NA,NA
158,1998,4,0,0,1,2,15,1,NA,NA,NA,NA
159,1998,4,0,0,1,2,15,1,NA,NA,NA,NA
160,1998,3,1,0,1,2,15,1,NA,NA,NA,92
161,1998,2,0,0,1,2,15,1,NA,NA,NA,NA
162,1998,4,0,0,1,2,16,3,NA,3,NA,93
163,1998,29,2,0,2,2,16,10,7,NA,NA,NA
164,1998,38,0,0,1,2,16,1,NA,NA,NA,94
165,1998,15,0,0,1,2,16,1,NA,NA,NA,95
166,1998,20,0,0,1,2,17,1,NA,NA,NA,96
167,1998,11,0,0,1,2,17,1,NA,NA,NA,97
168,1998,20,0,0,1,2,17,1,NA,NA,NA,98
169,1998,6,2,0,1,2,17,1,3,NA,8,NA
170,1998,15,0,0,1,2,17,1,NA,NA,NA,NA
171,1998,2,NA,NA,1,2,18,NA,NA,NA,NA,NA
172,1998,5,NA,NA,1,2,18,11,NA,NA,NA,NA
173,1998,22,NA,NA,2,2,18,1,8,NA,NA,99
174,1998,94,NA,1,1,2,18,1,14,NA,NA,NA
175,1998,4,0,0,1,2,20,1,NA,NA,NA,NA
176,1998,2,0,0,1,2,20,1,NA,NA,NA,NA
177,1998,3,0,0,1,2,20,1,NA,NA,NA,NA
178,1998,3,2,0,1,3,27,1,NA,NA,NA,NA
179,1998,2,0,0,1,3,27,1,NA,NA,NA,NA
180,1998,4,4,NA,1,3,28,4,18,4,NA,100
181,1998,26,NA,NA,1,3,1,1,3,NA,2,NA
182,1998,5,1,0,1,3,1,NA,NA,NA,NA,101
183,1998,4,0,0,1,3,1,1,3,NA,2,102
184,1998,7,0,0,1,3,1,3,NA,NA,NA,NA
185,1998,6,1,0,1,3,1,3,3,NA,2,103
186,1998,48,0,0,1,3,1,3,6,NA,NA,104
187,1998,6,0,0,1,3,1,1,2,NA,NA,3
188,1998,23,NA,NA,2,3,2,1,5,NA,NA,NA
189,1998,14,NA,NA,2,3,3,12,7,NA,NA,105
190,1998,11,0,0,1,3,3,1,NA,NA,NA,106
191,1998,2,0,0,1,3,3,1,NA,NA,NA,89
192,1998,2,0,0,2,3,3,1,8,NA,NA,107
193,1998,3,0,0,1,3,3,1,NA,NA,NA,108
194,1998,2,0,0,1,3,3,1,NA,NA,NA,37
195,1998,2,2,0,1,3,3,1,NA,NA,NA,109
196,1998,2,0,0,2,3,3,1,3,NA,NA,110
197,1998,3,0,0,1,3,3,1,NA,NA,NA,111
198,1998,2,NA,0,1,3,3,1,NA,NA,NA,112
199,1998,2,0,0,1,3,3,1,NA,NA,NA,113
200,1998,24,0,0,2,3,3,1,7,NA,NA,114
201,1998,2,0,0,1,3,3,1,NA,NA,NA,12
202,1998,3,1,0,1,3,3,1,NA,NA,NA,108
203,1998,2,0,0,2,3,3,1,8,NA,NA,115
204,1998,4,0,0,1,3,3,1,NA,NA,NA,116
205,1998,2,0,0,1,3,3,1,NA,NA,NA,115
206,1998,3,2,0,1,3,3,1,NA,NA,NA,NA
207,1998,2,NA,0,1,3,3,1,NA,NA,NA,117
208,1998,2,0,0,2,3,3,NA,9,NA,NA,118
209,1998,2,0,0,1,3,3,1,NA,NA,NA,NA
210,1998,4,0,0,2,3,3,1,3,NA,2,16
211,1998,7,0,0,2,3,3,1,7,NA,NA,82
212,1998,2,0,0,1,3,3,1,NA,NA,NA,119
213,1998,3,0,0,2,3,3,1,3,NA,NA,54
214,1998,8,0,0,2,3,3,1,7,NA,NA,82
215,1998,2,1,0,1,3,3,7,3,NA,2,62
216,1998,3,0,0,2,3,3,1,8,NA,NA,15
217,1998,3,0,0,1,3,3,1,NA,NA,NA,NA
218,1998,3,0,0,1,3,3,1,NA,NA,NA,120
219,1998,2,0,0,2,3,3,1,3,NA,NA,113
220,1998,2,0,0,1,3,3,1,NA,NA,NA,121
221,1998,2,0,0,1,3,3,3,NA,NA,NA,122
222,1998,18,0,0,2,3,3,3,6,NA,NA,123
223,1998,44,0,0,1,3,3,7,7,NA,NA,NA
224,1998,4,0,0,1,3,3,1,10,NA,NA,NA
225,1998,4,0,0,1,3,3,1,NA,NA,NA,124
226,1998,2,0,0,1,3,5,3,12,NA,NA,125
227,1998,39,0,0,1,3,5,1,NA,NA,NA,126
228,1998,2,0,0,1,3,5,1,2,NA,NA,127
229,1998,6,0,0,1,3,6,1,NA,NA,NA,NA
230,1998,2,0,0,1,3,6,1,3,NA,2,128
231,1998,103,1,0,1,3,6,1,19,NA,9,129
232,1998,3,0,0,1,3,6,1,NA,NA,NA,NA
233,1998,9,0,0,1,3,6,1,NA,NA,NA,NA
234,1998,11,1,NA,1,3,8,1,NA,NA,NA,130
235,1998,5,NA,NA,1,3,8,13,14,NA,NA,NA
236,1998,26,0,0,2,3,8,6,7,NA,NA,131
237,1998,3,NA,NA,1,3,8,1,NA,NA,NA,NA
238,1998,3,0,0,1,3,8,1,NA,NA,NA,132
239,1998,3,0,0,1,3,8,NA,NA,NA,NA,NA
240,1998,3,0,0,1,3,8,1,NA,NA,NA,NA
241,1998,2,0,0,1,3,8,1,NA,NA,NA,16
242,1998,6,NA,NA,1,3,9,1,3,NA,4,NA
243,1998,3,NA,NA,1,3,10,1,NA,NA,NA,133
244,1998,2,NA,NA,1,3,10,1,NA,NA,NA,134
245,1998,5,NA,NA,1,3,10,1,NA,NA,NA,42
246,1998,11,NA,NA,1,3,10,NA,NA,NA,NA,NA
247,1998,2,0,0,1,3,10,1,NA,NA,NA,135
248,1998,2,1,0,1,3,10,1,NA,NA,NA,136
249,1998,3,NA,NA,1,3,10,NA,NA,NA,NA,137
250,1998,15,0,0,1,3,10,1,NA,NA,NA,138
251,1998,30,1,0,1,3,11,1,15,NA,NA,139
252,1998,7,0,0,1,3,11,1,NA,NA,NA,140
253,1998,4,0,0,1,3,11,1,NA,NA,NA,NA
254,1998,12,NA,NA,1,3,25,5,NA,NA,NA,NA
255,1998,20,3,0,1,3,29,1,8,NA,NA,141
256,1998,17,0,0,1,3,13,1,NA,NA,NA,37
257,1998,5,NA,NA,1,3,13,1,NA,NA,NA,16
258,1998,47,NA,NA,1,3,13,NA,NA,NA,NA,37
259,1998,14,0,0,1,3,13,1,NA,NA,NA,6
260,1998,9,0,0,1,3,13,1,NA,NA,NA,NA
261,1998,9,NA,NA,1,3,14,NA,3,NA,NA,NA
262,1998,75,NA,NA,1,3,14,14,7,NA,NA,138
263,1998,2,0,0,1,3,15,1,NA,NA,NA,17
264,1998,8,1,0,1,3,15,3,NA,NA,NA,NA
265,1998,3,0,0,1,3,15,NA,NA,NA,NA,NA
266,1998,5,0,0,1,3,15,NA,NA,NA,NA,NA
267,1998,49,0,0,1,3,15,NA,NA,NA,NA,NA
268,1998,7,NA,NA,1,3,15,NA,3,NA,4,NA
269,1998,5,0,0,1,3,15,1,NA,NA,NA,NA
270,1998,7,NA,0,1,3,15,1,NA,NA,NA,NA
271,1998,2,0,0,1,3,15,1,NA,NA,NA,NA
272,1998,3,0,0,1,3,15,1,NA,NA,NA,55
273,1998,4,1,0,1,3,15,1,3,NA,10,128
274,1998,28,1,0,2,3,16,1,7,NA,NA,NA
275,1998,5,0,0,1,3,16,1,8,NA,NA,17
276,1998,16,0,0,1,3,17,NA,NA,NA,NA,NA
277,1998,3,0,0,1,3,17,NA,NA,NA,NA,NA
278,1998,3,0,0,1,3,17,1,NA,NA,NA,142
279,1998,25,1,0,1,3,17,5,3,NA,11,143
280,1998,48,0,0,1,3,30,NA,NA,NA,NA,NA
281,1998,78,NA,NA,2,3,18,NA,5,NA,NA,NA
282,1998,125,60,0,1,3,18,7,19,NA,9,144
283,1998,7,1,0,2,3,31,3,3,NA,2,NA
284,1998,23,5,0,1,3,19,1,3,NA,2,145
285,1998,28,NA,NA,2,3,19,NA,5,NA,NA,NA
286,1998,8,NA,NA,1,3,19,1,NA,NA,NA,146
287,1998,56,1,0,1,3,19,1,7,NA,NA,NA
288,1998,2,0,0,1,3,20,1,2,NA,NA,147
289,1998,8,0,0,1,3,20,1,14,NA,NA,NA
290,1998,2,0,0,1,3,20,1,NA,NA,NA,NA
291,1998,2,0,0,1,3,20,1,NA,NA,NA,NA
292,1998,16,0,0,1,3,20,NA,NA,NA,NA,NA
293,1998,3,6,0,1,3,20,1,NA,NA,NA,NA
294,1998,8,NA,NA,1,3,20,1,NA,NA,NA,NA
295,1998,2,0,0,1,3,20,1,NA,NA,NA,NA
296,1998,65,1,0,1,3,21,NA,7,NA,NA,NA
297,1998,15,NA,NA,1,4,1,NA,NA,NA,NA,NA
298,1998,72,7,0,1,4,1,1,4,NA,NA,NA
299,1998,19,0,0,1,4,1,1,NA,NA,NA,NA
300,1998,11,0,0,1,4,1,5,NA,NA,NA,NA
301,1998,39,0,0,1,4,1,NA,NA,NA,NA,148
302,1998,7,NA,0,1,4,1,3,3,NA,12,NA
303,1998,7,0,0,1,4,1,1,NA,NA,NA,109
304,1998,11,0,0,1,4,1,1,6,NA,NA,149
305,1998,2,NA,0,2,4,2,1,9,NA,NA,112
306,1998,11,NA,0,2,4,2,5,5,NA,NA,6
307,1998,12,NA,0,2,4,2,5,5,NA,NA,NA
308,1998,40,NA,NA,1,4,3,15,19,NA,9,62
309,1998,2,NA,NA,2,4,3,NA,3,NA,NA,110
310,1998,4,0,0,2,4,3,1,8,NA,NA,150
311,1998,2,0,0,1,4,3,NA,3,NA,2,37
312,1998,27,0,0,2,4,3,NA,7,NA,NA,151
313,1998,4,0,0,2,4,3,1,3,NA,2,64
314,1998,2,0,0,1,4,3,1,NA,NA,NA,92
315,1998,2,0,0,1,4,3,1,NA,NA,NA,64
316,1998,3,0,0,2,4,3,5,6,NA,NA,101
317,1998,4,0,0,2,4,3,1,6,NA,NA,152
318,1998,3,1,0,2,4,3,1,5,NA,NA,153
319,1998,2,0,0,1,4,3,1,NA,NA,NA,154
320,1998,3,1,0,2,4,3,1,3,NA,NA,65
321,1998,4,0,0,1,4,3,1,NA,NA,NA,155
322,1998,3,0,0,1,4,3,1,NA,NA,NA,156
323,1998,5,0,0,2,4,3,1,11,NA,NA,157
324,1998,12,2,0,2,4,3,3,7,NA,NA,158
325,1998,3,0,0,2,4,3,1,9,NA,NA,159
326,1998,3,2,0,1,4,3,1,NA,NA,NA,12
327,1998,3,0,0,2,4,3,1,8,NA,NA,160
328,1998,6,0,0,2,4,3,1,6,NA,NA,37
329,1998,2,0,0,2,4,3,1,9,NA,NA,161
330,1998,2,0,0,1,4,3,1,NA,NA,NA,17
331,1998,2,0,0,1,4,3,1,NA,NA,NA,162
332,1998,2,0,0,1,4,3,1,NA,NA,NA,17
333,1998,51,NA,NA,1,4,32,NA,19,NA,9,6
334,1998,19,0,0,1,4,5,1,NA,NA,NA,NA
335,1998,5,0,0,1,4,5,3,12,NA,NA,163
336,1998,46,1,0,1,4,6,7,3,NA,11,NA
337,1998,18,NA,NA,1,4,7,1,6,NA,NA,24
338,1998,53,0,0,2,4,33,1,6,NA,NA,81
339,1998,30,0,0,1,4,34,5,NA,NA,NA,NA
340,1998,65,0,0,1,4,35,14,6,NA,NA,164
341,1998,47,5,0,1,4,35,7,15,NA,NA,125
342,1998,15,NA,NA,1,4,8,4,NA,NA,NA,165
343,1998,19,NA,NA,1,4,8,1,NA,NA,NA,NA
344,1998,3,NA,NA,1,4,8,1,NA,NA,NA,166
345,1998,5,NA,NA,1,4,8,1,NA,NA,NA,167
346,1998,4,0,0,1,4,8,1,NA,NA,NA,NA
347,1998,3,NA,NA,1,4,8,1,NA,NA,NA,42
348,1998,5,NA,NA,1,4,8,1,NA,NA,NA,NA
349,1998,2,NA,NA,1,4,8,1,NA,NA,NA,168
350,1998,32,NA,NA,1,4,8,4,NA,NA,NA,169
351,1998,6,NA,NA,1,4,8,1,NA,NA,NA,NA
352,1998,3,NA,NA,1,4,8,1,NA,NA,NA,NA
353,1998,71,2,0,1,4,9,5,7,NA,NA,170
354,1998,33,NA,0,1,4,9,NA,NA,NA,NA,NA
355,1998,3,NA,NA,1,4,10,1,NA,NA,NA,15
356,1998,4,NA,NA,1,4,10,NA,NA,NA,NA,171
357,1998,5,NA,NA,1,4,10,14,NA,NA,NA,43
358,1998,4,NA,NA,1,4,10,NA,NA,NA,NA,42
359,1998,2,NA,NA,1,4,10,5,NA,NA,NA,172
360,1998,25,NA,NA,1,4,10,5,9,NA,NA,138
361,1998,7,NA,NA,1,4,10,1,NA,NA,NA,173
362,1998,4,0,0,1,4,10,1,NA,NA,NA,16
363,1998,2,0,0,1,4,10,1,NA,NA,NA,174
364,1998,18,0,0,1,4,10,1,NA,NA,NA,175
365,1998,15,0,0,1,4,10,1,NA,NA,NA,176
366,1998,18,0,0,2,4,11,9,20,NA,NA,NA
367,1998,14,0,0,1,4,11,7,NA,NA,NA,37
368,1998,5,0,0,2,4,11,1,9,NA,NA,10
369,1998,209,47,NA,1,4,12,NA,3,5,13,177
370,1998,12,0,0,2,4,13,16,6,NA,NA,178
371,1998,5,2,0,1,4,13,1,21,NA,NA,151
372,1998,18,0,0,2,4,13,1,6,NA,NA,179
373,1998,16,0,0,1,4,13,1,NA,NA,NA,142
374,1998,12,NA,NA,1,4,13,16,NA,NA,NA,NA
375,1998,2,0,0,1,4,15,1,NA,NA,NA,NA
376,1998,2,0,0,1,4,15,1,NA,NA,NA,NA
377,1998,4,0,0,1,4,15,1,NA,NA,NA,180
378,1998,5,0,0,1,4,15,1,NA,NA,NA,42
379,1998,2,0,0,1,4,15,1,9,NA,NA,181
380,1998,3,0,0,1,4,15,1,NA,NA,NA,NA
381,1998,4,1,0,1,4,15,1,NA,NA,NA,NA
382,1998,800,4,0,1,4,15,1,NA,NA,NA,182
383,1998,2,0,0,1,4,15,1,NA,NA,NA,183
384,1998,4,NA,0,1,4,15,1,NA,NA,NA,184
385,1998,2,0,0,1,4,15,1,NA,NA,NA,185
386,1998,16,0,0,1,4,16,1,NA,NA,NA,186
387,1998,20,0,0,1,4,17,5,NA,NA,NA,NA
388,1998,3,NA,NA,1,4,17,1,6,NA,NA,NA
389,1998,5,0,0,1,4,17,NA,NA,NA,NA,NA
390,1998,21,0,0,1,4,17,1,NA,NA,NA,187
391,1998,18,NA,NA,2,4,18,1,22,NA,NA,NA
392,1998,15,NA,NA,1,4,18,NA,NA,NA,NA,188
393,1998,2,NA,NA,1,4,18,NA,NA,NA,NA,NA
394,1998,22,2,0,1,4,31,1,3,NA,2,189
395,1998,6,NA,NA,1,4,19,NA,2,NA,NA,147
396,1998,67,NA,NA,1,4,19,NA,7,NA,NA,6
397,1998,9,NA,0,1,4,19,5,3,NA,11,190
398,1998,27,NA,NA,1,4,20,10,NA,NA,NA,37
399,1998,3,0,0,1,4,20,3,23,NA,NA,191
400,1998,2,0,0,1,4,20,1,NA,NA,NA,NA
401,1998,2,0,0,1,4,20,1,NA,NA,NA,NA
402,1998,8,0,0,1,4,20,1,NA,NA,NA,NA
403,1998,5,0,0,1,4,20,NA,NA,NA,NA,192
404,1998,22,1,0,1,4,21,1,7,NA,NA,NA
405,1998,13,0,0,1,4,21,NA,NA,NA,NA,NA
406,1998,38,NA,NA,2,5,1,5,5,NA,NA,NA
407,1998,100,NA,NA,1,5,1,1,NA,NA,NA,193
408,1998,40,NA,NA,1,5,1,NA,NA,NA,NA,NA
409,1998,6,3,0,1,5,1,NA,3,NA,14,NA
410,1998,31,0,0,1,5,1,NA,NA,NA,NA,NA
411,1998,6,0,0,1,5,1,NA,NA,NA,NA,NA
412,1998,13,0,0,1,5,1,3,NA,NA,NA,NA
413,1998,8,0,0,1,5,1,3,12,NA,NA,194
414,1998,3,1,0,1,5,1,1,24,NA,15,NA
415,1998,30,0,0,1,5,1,3,NA,NA,NA,195
416,1998,10,0,0,1,5,1,3,NA,NA,NA,NA
417,1998,16,0,0,1,5,1,5,NA,NA,NA,NA
418,1998,15,0,0,1,5,1,3,NA,NA,NA,NA
419,1998,16,0,0,1,5,1,3,NA,NA,NA,195
420,1998,61,0,0,1,5,1,1,NA,NA,NA,NA
421,1998,5,0,0,1,5,1,1,NA,NA,NA,191
422,1998,6,NA,NA,2,5,2,1,5,NA,NA,196
423,1998,2,0,0,2,5,3,1,6,NA,NA,NA
424,1998,3,0,0,1,5,3,1,NA,NA,NA,44
425,1998,3,0,0,1,5,3,1,NA,NA,NA,42
426,1998,5,NA,NA,2,5,3,1,6,NA,NA,37
427,1998,3,0,0,2,5,3,1,3,NA,NA,6
428,1998,23,0,0,2,5,3,1,7,NA,NA,151
429,1998,7,0,0,1,5,3,1,NA,NA,NA,91
430,1998,2,0,0,1,5,3,1,NA,NA,NA,197
431,1998,3,0,0,1,5,3,1,NA,NA,NA,91
432,1998,3,0,0,1,5,3,1,NA,NA,NA,34
433,1998,3,0,0,1,5,3,1,NA,NA,NA,198
434,1998,2,0,0,1,5,3,1,NA,NA,NA,185
435,1998,2,0,0,1,5,3,1,NA,NA,NA,199
436,1998,2,0,0,1,5,3,1,NA,NA,NA,200
437,1998,2,0,0,2,5,3,1,8,NA,NA,29
438,1998,2,0,0,2,5,3,1,9,NA,NA,201
439,1998,2,0,0,2,5,3,1,6,NA,NA,202
440,1998,2,2,0,1,5,3,1,NA,NA,NA,16
441,1998,2,2,2,1,5,3,1,NA,NA,NA,10
442,1998,7,0,0,2,5,3,1,9,NA,NA,203
443,1998,2,0,0,2,5,3,1,8,NA,NA,204
444,1998,3,0,0,1,5,3,1,NA,NA,NA,65
445,1998,3,0,0,2,5,3,1,8,NA,NA,15
446,1998,2,0,0,1,5,3,1,NA,NA,NA,91
447,1998,2,0,0,1,5,3,1,NA,NA,NA,205
448,1998,2,0,0,1,5,3,1,NA,NA,NA,74
449,1998,2,0,0,1,5,3,1,NA,NA,NA,147
450,1998,8,0,0,1,5,3,1,NA,NA,NA,109
451,1998,2,0,0,2,5,3,NA,6,NA,NA,206
452,1998,2,0,0,2,5,3,1,8,NA,NA,207
453,1998,3,1,0,1,5,3,1,NA,NA,NA,6
454,1998,4,0,0,1,5,3,NA,9,NA,NA,185
455,1998,6,4,0,1,5,3,3,12,NA,NA,208
456,1998,18,0,0,1,5,3,1,NA,NA,NA,6
