"","Year","Month","State","Location","Food","Species","Ingredient","Serotype.Genotype","Illnesses","Hospitalizations","Fatalities","Status"
"1",1998,1,1,1,37,7,6,9,20,0,0,1
"2",1998,1,1,1,2,7,6,9,112,0,0,1
"3",1998,1,1,1,37,7,6,9,35,0,0,1
"4",1998,1,1,1,3,2,6,9,4,0,0,1
"5",1998,1,1,3,4,3,6,2,26,3,0,1
"6",1998,1,1,1,37,4,6,9,25,3,0,1
"7",1998,1,1,1,37,7,6,9,8,0,0,1
"8",1998,1,1,1,5,3,6,2,4,3,0,1
"9",1998,1,2,1,6,5,6,9,21,0.94752807538402,0.0217167160716587,0
"10",1998,1,2,1,7,5,6,9,3,0.94752807538402,0,0
"11",1998,1,2,4,37,5,6,9,8,0.94752807538402,0.0217167160716587,0
"12",1998,1,2,1,37,5,6,9,28,0.94752807538402,0,0
"13",1998,1,2,3,37,5,6,9,10,0.94752807538402,0.0217167160716587,0
"14",1998,1,3,1,8,7,6,9,2,0.94752807538402,0.0217167160716587,1
"15",1998,1,3,1,9,7,6,9,3,0,0,1
"16",1998,1,3,1,10,6,6,9,3,0,0,0
"17",1998,1,3,1,11,7,6,9,2,0.94752807538402,0.0217167160716587,0
"18",1998,1,3,1,12,8,6,9,2,0,0,0
"19",1998,1,3,1,13,9,6,9,2,0,0,0
"20",1998,1,3,1,14,2,6,9,2,2,0,0
"21",1998,1,3,1,15,10,6,9,3,1,0,1
"22",1998,1,3,1,16,7,6,9,3,0,0,1
"23",1998,1,3,1,17,9,6,9,5,0,0,0
"24",1998,1,3,1,18,7,6,9,3,0,0,1
"25",1998,1,3,1,19,7,6,9,5,0,0,1
"26",1998,1,3,1,20,7,6,9,2,0,0,1
"27",1998,1,3,1,21,7,6,9,2,0,0,1
"28",1998,1,3,1,22,7,6,9,2,1,0,1
"29",1998,1,3,3,23,7,6,9,18,5,0,1
"30",1998,1,3,1,20,7,6,9,2,0,0,1
"31",1998,1,3,4,24,7,6,9,2,0,0,1
"32",1998,1,3,1,25,10,6,9,3,0.94752807538402,0.0217167160716587,0
"33",1998,1,4,3,26,7,6,9,2,0.94752807538402,0.0217167160716587,1
"34",1998,1,4,1,16,11,6,9,47,0,0,1
"35",1998,1,5,3,27,12,6,9,3,0,0,1
"36",1998,1,5,3,28,2,6,9,2,0,0,1
"37",1998,1,5,1,3,2,6,9,2,0,0,1
"38",1998,1,6,1,37,7,6,9,4,0,0,1
"39",1998,1,6,1,37,7,6,9,11,0,0,1
"40",1998,1,6,1,37,7,6,9,4,1,0.0217167160716587,1
"41",1998,1,7,1,37,13,6,3,25,3,0,1
"42",1998,1,8,3,29,7,6,9,3,0.94752807538402,0,1
"43",1998,1,8,1,8,6,6,9,3,0,0,0
"44",1998,1,8,1,30,3,6,2,4,0,0,1
"45",1998,1,8,1,37,14,6,9,21,0.94752807538402,0.0217167160716587,1
"46",1998,1,8,1,37,9,6,9,3,0,0,0
"47",1998,1,8,1,37,7,6,9,2,0.94752807538402,0,1
"48",1998,1,8,1,37,7,6,9,2,0,0,1
"49",1998,1,8,1,31,7,6,9,3,0.94752807538402,0,1
"50",1998,1,8,1,32,3,6,2,8,0,0,1
"51",1998,1,8,3,8,3,6,4,5,1,0,1
"52",1998,1,8,1,33,6,6,9,4,0,0,0
"53",1998,1,8,1,37,7,6,9,4,0,0,1
"54",1998,1,9,1,34,15,6,9,79,6,0,1
"55",1998,1,9,1,37,7,6,9,115,0,0,1
"56",1998,1,10,1,35,7,6,9,2,0.94752807538402,0.0217167160716587,1
"57",1998,1,10,1,36,7,6,9,6,0.94752807538402,0.0217167160716587,1
"58",1998,1,10,1,37,7,6,9,5,0.94752807538402,0.0217167160716587,1
"59",1998,1,10,1,38,7,6,9,2,0.94752807538402,0.0217167160716587,1
"60",1998,1,10,1,37,7,6,9,133,0.94752807538402,0.0217167160716587,1
"61",1998,1,10,1,37,7,6,9,47,0.94752807538402,0.0217167160716587,1
"62",1998,1,10,1,12,7,6,9,4,0.94752807538402,0,1
"63",1998,1,10,1,39,7,6,9,5,0,0,1
"64",1998,1,10,1,40,7,6,9,2,0,0,1
"65",1998,1,10,1,41,7,6,9,3,3,0,1
"66",1998,1,10,1,42,7,6,9,19,0.94752807538402,0.0217167160716587,1
"67",1998,1,10,1,43,7,6,9,3,0.94752807538402,0.0217167160716587,1
"68",1998,1,11,1,37,15,6,9,19,0,0,1
"69",1998,1,11,1,44,7,6,9,16,0,0,1
"70",1998,1,12,3,45,3,6,2,4,0,0,1
"71",1998,1,13,1,37,3,6,5,3,1,0,1
"72",1998,1,13,1,46,3,6,6,2,0.94752807538402,0.0217167160716587,1
"73",1998,1,13,5,47,7,6,9,26,0,0,1
"74",1998,1,14,5,37,7,6,9,8,0.94752807538402,0.0217167160716587,0
"75",1998,1,15,1,37,7,6,9,2,0,0,1
"76",1998,1,15,1,37,7,6,9,3,0,0,1
"77",1998,1,15,1,37,7,6,9,2,0,0,1
"78",1998,1,15,1,37,7,6,9,2,0,0,1
"79",1998,1,15,1,48,7,6,9,4,0.94752807538402,0.0217167160716587,1
"80",1998,1,16,1,37,4,6,9,2,0.94752807538402,0.0217167160716587,1
"81",1998,1,16,1,49,3,6,4,8,0,0,1
"82",1998,1,17,1,50,7,6,9,23,0,0,1
"83",1998,1,17,6,51,3,6,2,4,2,0,1
"84",1998,1,17,1,16,7,6,9,16,0,0,1
"85",1998,1,17,1,37,7,6,9,17,0,0,1
"86",1998,1,18,1,52,8,6,9,218,0.94752807538402,0.0217167160716587,0
"87",1998,1,19,1,37,7,6,9,13,0,0,1
"88",1998,1,20,1,37,7,6,9,3,0,0,1
"89",1998,1,20,1,37,7,6,9,3,0,0,1
"90",1998,1,21,5,53,6,6,9,34,0,0,1
"91",1998,2,1,1,54,3,6,2,10,1,0,1
"92",1998,2,2,1,55,5,6,9,11,0.94752807538402,0.0217167160716587,0
"93",1998,2,2,1,56,6,6,9,10,0,0,1
"94",1998,2,2,1,57,5,6,9,6,0.94752807538402,0,0
"95",1998,2,22,1,58,3,2,2,10,0.94752807538402,0.0217167160716587,1
"96",1998,2,22,7,59,7,6,9,38,0.94752807538402,0,1
"97",1998,2,3,1,60,7,6,9,39,0,0,0
"98",1998,2,3,1,61,6,6,9,3,0,0,0
"99",1998,2,3,1,62,7,6,9,8,0,0,1
"100",1998,2,3,1,63,6,6,9,3,0,0,0
"101",1998,2,3,1,64,7,6,9,6,0,0,1
"102",1998,2,3,1,65,7,6,9,2,1,0,1
"103",1998,2,3,4,66,7,6,9,4,0,0,1
"104",1998,2,3,5,67,7,6,9,35,1,0.0217167160716587,0
"105",1998,2,3,1,68,8,6,9,18,0,0,0
"106",1998,2,3,1,62,7,6,9,2,0,0,1
"107",1998,2,3,1,37,8,6,9,8,0,0,0
"108",1998,2,3,8,69,7,6,9,3,0,0,1
"109",1998,2,3,1,37,7,6,9,5,0,0,1
"110",1998,2,3,1,70,7,6,9,2,0,0,1
"111",1998,2,3,1,10,9,6,9,4,0,0,0
"112",1998,2,3,1,10,7,6,9,2,0,0,1
"113",1998,2,3,5,71,9,6,9,50,1,0,0
"114",1998,2,3,1,72,7,6,9,2,0.94752807538402,0,1
"115",1998,2,3,1,71,9,6,9,43,0,0,0
"116",1998,2,3,1,73,9,6,9,15,0,0,0
"117",1998,2,3,1,74,7,6,9,4,0,0,1
"118",1998,2,3,1,75,7,6,9,3,2,0,1
"119",1998,2,3,1,74,7,6,9,3,0,0,1
"120",1998,2,6,1,37,7,6,9,33,0,0,1
"121",1998,2,7,1,76,8,6,9,101,0,0,1
"122",1998,2,7,1,77,7,6,9,9,0,0,1
"123",1998,2,8,1,37,7,6,9,8,0,0,1
"124",1998,2,8,1,37,7,6,9,3,0.94752807538402,0.0217167160716587,1
"125",1998,2,8,1,15,7,6,9,6,0.94752807538402,0.0217167160716587,1
"126",1998,2,8,1,78,7,6,9,2,0.94752807538402,0.0217167160716587,1
"127",1998,2,8,1,37,7,6,9,2,0.94752807538402,0.0217167160716587,1
"128",1998,2,8,1,37,7,6,9,17,0,0,1
"129",1998,2,10,1,79,7,6,9,3,0.94752807538402,0.0217167160716587,1
"130",1998,2,10,1,80,7,6,9,5,0.94752807538402,0.0217167160716587,1
"131",1998,2,10,1,81,7,6,9,5,0.94752807538402,0.0217167160716587,1
"132",1998,2,10,1,82,7,6,9,4,0.94752807538402,0.0217167160716587,1
"133",1998,2,10,1,83,7,6,9,8,0.94752807538402,0.0217167160716587,1
"134",1998,2,10,5,16,7,6,9,20,0.94752807538402,0.0217167160716587,1
"135",1998,2,10,1,42,7,6,9,4,0,0,1
"136",1998,2,10,1,84,7,6,9,2,0,0,1
"137",1998,2,11,9,37,7,6,9,13,0,0,1
"138",1998,2,11,7,29,16,6,9,16,0,0,0
"139",1998,2,23,1,37,7,6,9,12,0.94752807538402,0.0217167160716587,1
"140",1998,2,24,1,85,6,6,9,45,0,0,1
"141",1998,2,25,5,37,7,6,9,16,0.94752807538402,0.0217167160716587,1
"142",1998,2,26,1,37,13,6,7,10,6,0,1
"143",1998,2,13,1,37,7,6,9,8,0,0,1
"144",1998,2,13,5,86,7,6,9,23,0.94752807538402,0.0217167160716587,1
"145",1998,2,13,5,37,7,6,9,17,0,0,1
"146",1998,2,13,5,37,7,6,9,17,1,0,1
"147",1998,2,13,5,37,7,6,9,18,0.94752807538402,0.0217167160716587,1
"148",1998,2,13,1,87,17,6,9,9,0,0,1
"149",1998,2,14,5,37,10,6,9,9,0.94752807538402,0.0217167160716587,1
"150",1998,2,14,1,88,7,6,9,9,0.94752807538402,0,1
"151",1998,2,15,1,89,7,6,9,2,1,0,1
"152",1998,2,15,1,37,7,6,9,3,0,0,1
"153",1998,2,15,1,37,7,6,9,4,0.94752807538402,0.0217167160716587,1
"154",1998,2,15,5,90,7,6,9,25,0.94752807538402,0.0217167160716587,1
"155",1998,2,15,3,91,7,6,9,2,0,0,1
"156",1998,2,15,1,37,7,6,9,2,0,0,1
"157",1998,2,15,1,37,7,6,9,3,0,0,1
"158",1998,2,15,1,37,7,6,9,4,0,0,1
"159",1998,2,15,1,37,7,6,9,4,0,0,1
"160",1998,2,15,1,92,7,6,9,3,1,0,1
"161",1998,2,15,1,37,7,6,9,2,0,0,1
"162",1998,2,16,3,93,7,3,9,4,0,0,1
"163",1998,2,16,10,37,7,6,9,29,2,0,0
"164",1998,2,16,1,94,7,6,9,38,0,0,1
"165",1998,2,16,1,95,7,6,9,15,0,0,1
"166",1998,2,17,1,96,7,6,9,20,0,0,1
"167",1998,2,17,1,97,7,6,9,11,0,0,1
"168",1998,2,17,1,98,7,6,9,20,0,0,1
"169",1998,2,17,1,37,3,6,8,6,2,0,1
"170",1998,2,17,1,37,7,6,9,15,0,0,1
"171",1998,2,18,1,37,7,6,9,2,0.94752807538402,0.0217167160716587,1
"172",1998,2,18,11,37,7,6,9,5,0.94752807538402,0.0217167160716587,1
"173",1998,2,18,1,99,8,6,9,22,0.94752807538402,0.0217167160716587,0
"174",1998,2,18,1,37,14,6,9,94,0.94752807538402,1,1
"175",1998,2,20,1,37,7,6,9,4,0,0,1
"176",1998,2,20,1,37,7,6,9,2,0,0,1
"177",1998,2,20,1,37,7,6,9,3,0,0,1
"178",1998,3,27,1,37,7,6,9,3,2,0,1
"179",1998,3,27,1,37,7,6,9,2,0,0,1
"180",1998,3,28,4,100,18,4,9,4,4,0.0217167160716587,1
"181",1998,3,1,1,37,3,6,2,26,0.94752807538402,0.0217167160716587,1
"182",1998,3,1,1,101,7,6,9,5,1,0,1
"183",1998,3,1,1,102,3,6,2,4,0,0,1
"184",1998,3,1,3,37,7,6,9,7,0,0,1
"185",1998,3,1,3,103,3,6,2,6,1,0,1
"186",1998,3,1,3,104,6,6,9,48,0,0,1
"187",1998,3,1,1,3,2,6,9,6,0,0,1
"188",1998,3,2,1,37,5,6,9,23,0.94752807538402,0.0217167160716587,0
"189",1998,3,3,12,105,7,6,9,14,0.94752807538402,0.0217167160716587,0
"190",1998,3,3,1,106,7,6,9,11,0,0,1
"191",1998,3,3,1,89,7,6,9,2,0,0,1
"192",1998,3,3,1,107,8,6,9,2,0,0,0
"193",1998,3,3,1,108,7,6,9,3,0,0,1
"194",1998,3,3,1,37,7,6,9,2,0,0,1
"195",1998,3,3,1,109,7,6,9,2,2,0,1
"196",1998,3,3,1,110,3,6,9,2,0,0,0
"197",1998,3,3,1,111,7,6,9,3,0,0,1
"198",1998,3,3,1,112,7,6,9,2,0.94752807538402,0,1
"199",1998,3,3,1,113,7,6,9,2,0,0,1
"200",1998,3,3,1,114,7,6,9,24,0,0,0
"201",1998,3,3,1,12,7,6,9,2,0,0,1
"202",1998,3,3,1,108,7,6,9,3,1,0,1
"203",1998,3,3,1,115,8,6,9,2,0,0,0
"204",1998,3,3,1,116,7,6,9,4,0,0,1
"205",1998,3,3,1,115,7,6,9,2,0,0,1
"206",1998,3,3,1,37,7,6,9,3,2,0,1
"207",1998,3,3,1,117,7,6,9,2,0.94752807538402,0,1
"208",1998,3,3,1,118,9,6,9,2,0,0,0
"209",1998,3,3,1,37,7,6,9,2,0,0,1
"210",1998,3,3,1,16,3,6,2,4,0,0,0
"211",1998,3,3,1,82,7,6,9,7,0,0,0
"212",1998,3,3,1,119,7,6,9,2,0,0,1
"213",1998,3,3,1,54,3,6,9,3,0,0,0
"214",1998,3,3,1,82,7,6,9,8,0,0,0
"215",1998,3,3,7,62,3,6,2,2,1,0,1
"216",1998,3,3,1,15,8,6,9,3,0,0,0
"217",1998,3,3,1,37,7,6,9,3,0,0,1
"218",1998,3,3,1,120,7,6,9,3,0,0,1
"219",1998,3,3,1,113,3,6,9,2,0,0,0
"220",1998,3,3,1,121,7,6,9,2,0,0,1
"221",1998,3,3,3,122,7,6,9,2,0,0,1
"222",1998,3,3,3,123,6,6,9,18,0,0,0
"223",1998,3,3,7,37,7,6,9,44,0,0,1
"224",1998,3,3,1,37,10,6,9,4,0,0,1
"225",1998,3,3,1,124,7,6,9,4,0,0,1
"226",1998,3,5,3,125,12,6,9,2,0,0,1
"227",1998,3,5,1,126,7,6,9,39,0,0,1
"228",1998,3,5,1,127,2,6,9,2,0,0,1
"229",1998,3,6,1,37,7,6,9,6,0,0,1
"230",1998,3,6,1,128,3,6,2,2,0,0,1
"231",1998,3,6,1,129,19,6,9,103,1,0,1
"232",1998,3,6,1,37,7,6,9,3,0,0,1
"233",1998,3,6,1,37,7,6,9,9,0,0,1
"234",1998,3,8,1,130,7,6,9,11,1,0.0217167160716587,1
"235",1998,3,8,13,37,14,6,9,5,0.94752807538402,0.0217167160716587,1
"236",1998,3,8,6,131,7,6,9,26,0,0,0
"237",1998,3,8,1,37,7,6,9,3,0.94752807538402,0.0217167160716587,1
"238",1998,3,8,1,132,7,6,9,3,0,0,1
"239",1998,3,8,1,37,7,6,9,3,0,0,1
"240",1998,3,8,1,37,7,6,9,3,0,0,1
"241",1998,3,8,1,16,7,6,9,2,0,0,1
"242",1998,3,9,1,37,3,6,4,6,0.94752807538402,0.0217167160716587,1
