"","Year","Illnesses","Hospitalizations","Fatalities","status","month","state","location","species","ingredient","serotype.Genotype","food"
"1",1998,20,0,0,1,1,1,1,7,6,9,37
"2",1998,112,0,0,1,1,1,1,7,6,9,2
"3",1998,35,0,0,1,1,1,1,7,6,9,37
"4",1998,4,0,0,1,1,1,1,2,6,9,3
"5",1998,26,3,0,1,1,1,3,3,6,2,4
"6",1998,25,3,0,1,1,1,1,4,6,9,37
"7",1998,8,0,0,1,1,1,1,7,6,9,37
"8",1998,4,3,0,1,1,1,1,3,6,2,5
"9",1998,21,0.94752807538402,0.0217167160716587,2,1,2,1,5,6,9,6
"10",1998,3,0.94752807538402,0,2,1,2,1,5,6,9,7
"11",1998,8,0.94752807538402,0.0217167160716587,2,1,2,4,5,6,9,37
"12",1998,28,0.94752807538402,0,2,1,2,1,5,6,9,37
"13",1998,10,0.94752807538402,0.0217167160716587,2,1,2,3,5,6,9,37
"14",1998,2,0.94752807538402,0.0217167160716587,1,1,3,1,7,6,9,8
"15",1998,3,0,0,1,1,3,1,7,6,9,9
"16",1998,3,0,0,2,1,3,1,6,6,9,10
"17",1998,2,0.94752807538402,0.0217167160716587,2,1,3,1,7,6,9,11
"18",1998,2,0,0,2,1,3,1,8,6,9,12
"19",1998,2,0,0,2,1,3,1,9,6,9,13
"20",1998,2,2,0,2,1,3,1,2,6,9,14
"21",1998,3,1,0,1,1,3,1,10,6,9,15
"22",1998,3,0,0,1,1,3,1,7,6,9,16
"23",1998,5,0,0,2,1,3,1,9,6,9,17
"24",1998,3,0,0,1,1,3,1,7,6,9,18
"25",1998,5,0,0,1,1,3,1,7,6,9,19
"26",1998,2,0,0,1,1,3,1,7,6,9,20
"27",1998,2,0,0,1,1,3,1,7,6,9,21
"28",1998,2,1,0,1,1,3,1,7,6,9,22
"29",1998,18,5,0,1,1,3,3,7,6,9,23
"30",1998,2,0,0,1,1,3,1,7,6,9,20
"31",1998,2,0,0,1,1,3,4,7,6,9,24
"32",1998,3,0.94752807538402,0.0217167160716587,2,1,3,1,10,6,9,25
"33",1998,2,0.94752807538402,0.0217167160716587,1,1,4,3,7,6,9,26
"34",1998,47,0,0,1,1,4,1,11,6,9,16
"35",1998,3,0,0,1,1,5,3,12,6,9,27
"36",1998,2,0,0,1,1,5,3,2,6,9,28
"37",1998,2,0,0,1,1,5,1,2,6,9,3
"38",1998,4,0,0,1,1,6,1,7,6,9,37
"39",1998,11,0,0,1,1,6,1,7,6,9,37
"40",1998,4,1,0.0217167160716587,1,1,6,1,7,6,9,37
"41",1998,25,3,0,1,1,7,1,13,6,3,37
"42",1998,3,0.94752807538402,0,1,1,8,3,7,6,9,29
"43",1998,3,0,0,2,1,8,1,6,6,9,8
"44",1998,4,0,0,1,1,8,1,3,6,2,30
"45",1998,21,0.94752807538402,0.0217167160716587,1,1,8,1,14,6,9,37
"46",1998,3,0,0,2,1,8,1,9,6,9,37
"47",1998,2,0.94752807538402,0,1,1,8,1,7,6,9,37
"48",1998,2,0,0,1,1,8,1,7,6,9,37
"49",1998,3,0.94752807538402,0,1,1,8,1,7,6,9,31
"50",1998,8,0,0,1,1,8,1,3,6,2,32
"51",1998,5,1,0,1,1,8,3,3,6,4,8
"52",1998,4,0,0,2,1,8,1,6,6,9,33
"53",1998,4,0,0,1,1,8,1,7,6,9,37
"54",1998,79,6,0,1,1,9,1,15,6,9,34
"55",1998,115,0,0,1,1,9,1,7,6,9,37
"56",1998,2,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,35
"57",1998,6,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,36
"58",1998,5,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,37
"59",1998,2,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,38
"60",1998,133,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,37
"61",1998,47,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,37
"62",1998,4,0.94752807538402,0,1,1,10,1,7,6,9,12
"63",1998,5,0,0,1,1,10,1,7,6,9,39
"64",1998,2,0,0,1,1,10,1,7,6,9,40
"65",1998,3,3,0,1,1,10,1,7,6,9,41
"66",1998,19,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,42
"67",1998,3,0.94752807538402,0.0217167160716587,1,1,10,1,7,6,9,43
"68",1998,19,0,0,1,1,11,1,15,6,9,37
"69",1998,16,0,0,1,1,11,1,7,6,9,44
"70",1998,4,0,0,1,1,12,3,3,6,2,45
"71",1998,3,1,0,1,1,13,1,3,6,5,37
"72",1998,2,0.94752807538402,0.0217167160716587,1,1,13,1,3,6,6,46
"73",1998,26,0,0,1,1,13,5,7,6,9,47
"74",1998,8,0.94752807538402,0.0217167160716587,2,1,14,5,7,6,9,37
"75",1998,2,0,0,1,1,15,1,7,6,9,37
"76",1998,3,0,0,1,1,15,1,7,6,9,37
"77",1998,2,0,0,1,1,15,1,7,6,9,37
"78",1998,2,0,0,1,1,15,1,7,6,9,37
"79",1998,4,0.94752807538402,0.0217167160716587,1,1,15,1,7,6,9,48
"80",1998,2,0.94752807538402,0.0217167160716587,1,1,16,1,4,6,9,37
"81",1998,8,0,0,1,1,16,1,3,6,4,49
"82",1998,23,0,0,1,1,17,1,7,6,9,50
"83",1998,4,2,0,1,1,17,6,3,6,2,51
"84",1998,16,0,0,1,1,17,1,7,6,9,16
"85",1998,17,0,0,1,1,17,1,7,6,9,37
"86",1998,218,0.94752807538402,0.0217167160716587,2,1,18,1,8,6,9,52
"87",1998,13,0,0,1,1,19,1,7,6,9,37
"88",1998,3,0,0,1,1,20,1,7,6,9,37
"89",1998,3,0,0,1,1,20,1,7,6,9,37
"90",1998,34,0,0,1,1,21,5,6,6,9,53
"91",1998,10,1,0,1,2,1,1,3,6,2,54
"92",1998,11,0.94752807538402,0.0217167160716587,2,2,2,1,5,6,9,55
"93",1998,10,0,0,1,2,2,1,6,6,9,56
"94",1998,6,0.94752807538402,0,2,2,2,1,5,6,9,57
"95",1998,10,0.94752807538402,0.0217167160716587,1,2,22,1,3,2,2,58
"96",1998,38,0.94752807538402,0,1,2,22,7,7,6,9,59
"97",1998,39,0,0,2,2,3,1,7,6,9,60
"98",1998,3,0,0,2,2,3,1,6,6,9,61
"99",1998,8,0,0,1,2,3,1,7,6,9,62
