Year,Month,State,Location,Food,Ingredient,Species,Serotype/Genotype,Status,Illnesses,Hospitalizations,Fatalities
1998,January,California,Restaurant,NA,NA,NA,NA,NA,20,0,0
1998,January,California,NA,Custard,NA,NA,NA,NA,112,0,0
1998,January,California,Restaurant,NA,NA,NA,NA,NA,35,0,0
1998,January,California,Restaurant,"Fish, Ahi",NA,Scombroid toxin,NA,Confirmed,4,0,0
1998,January,California,Private Home/Residence,"Lasagna, Unspecified; Eggs, Other",NA,Salmonella enterica,Enteritidis,Confirmed,26,3,0
1998,January,California,Restaurant,NA,NA,Shigella boydii,NA,Confirmed,25,3,0
1998,January,California,Restaurant,NA,NA,NA,NA,NA,8,0,0
1998,January,California,Restaurant,"Stuffing, Unspecified; Sandwich, Turkey",NA,Salmonella enterica,Enteritidis,Confirmed,4,3,0
1998,January,Colorado,Restaurant,"Salad, Unspecified",NA,Virus,NA,Suspected,21,NA,NA
1998,January,Colorado,Restaurant,"Peppers, Chili",NA,Virus,NA,Suspected,3,NA,0
1998,January,Colorado,Grocery Store,NA,NA,Virus,NA,Suspected,8,NA,NA
1998,January,Colorado,Restaurant,NA,NA,Virus,NA,Suspected,28,NA,0
1998,January,Colorado,Private Home/Residence,NA,NA,Virus,NA,Suspected,10,NA,NA
1998,January,Florida,Restaurant,Chicken Salad,NA,NA,NA,NA,2,NA,NA
1998,January,Florida,Restaurant,"Hot Dog, Kielbasa",NA,NA,NA,NA,3,0,0
1998,January,Florida,Restaurant,"Ethnic Style, Unspecified",NA,Clostridium perfringens,NA,Suspected,3,0,0
1998,January,Florida,Restaurant,Greek Salad,NA,Norovirus genogroup I,NA,Suspected,2,NA,NA
1998,January,Florida,Restaurant,"Ground Beef, Cheeseburger",NA,Staphylococcus aureus,NA,Suspected,2,0,0
1998,January,Florida,Restaurant,"Pasta, Unspecified",NA,Bacillus cereus,NA,Suspected,2,0,0
1998,January,Florida,Restaurant,"Sauces, Unspecified; Tuna, Unspecified",NA,Scombroid toxin,NA,Suspected,2,2,0
1998,January,Florida,Restaurant,"Sandwich, Chicken",NA,Campylobacter unknown,NA,Confirmed,3,1,0
1998,January,Florida,Restaurant,"Chicken, Unspecified",NA,NA,NA,NA,3,0,0
1998,January,Florida,Restaurant,"Chicken, Fried",NA,Bacillus cereus,NA,Suspected,5,0,0
1998,January,Florida,Restaurant,"Doughnuts, Unspecified",NA,NA,NA,NA,3,0,0
1998,January,Florida,Restaurant,"Tomato Sauce, Unspecified",NA,NA,NA,NA,5,0,0
1998,January,Florida,Restaurant,"Steak, Unspecified",NA,NA,NA,NA,2,0,0
1998,January,Florida,Restaurant,Unknown Food,NA,NA,NA,NA,2,0,0
1998,January,Florida,Restaurant,"Chicken, Nuggets/Fingers; French Fries; Soda, Unspecified",NA,NA,NA,NA,2,1,0
1998,January,Florida,Private Home/Residence,"Turkey, Unspecified",NA,NA,NA,NA,18,5,0
1998,January,Florida,Restaurant,"Steak, Unspecified",NA,NA,NA,NA,2,0,0
1998,January,Florida,Grocery Store,"Pork, Unspecified",NA,NA,NA,NA,2,0,0
1998,January,Florida,Restaurant,"Salmon, Raw; Tuna, Raw",NA,Campylobacter unknown,NA,Suspected,3,NA,NA
1998,January,Guam,Private Home/Residence,"Other Milk, Unspecified",NA,NA,NA,NA,2,NA,NA
1998,January,Guam,Restaurant,"Chicken, Unspecified",NA,Vibrio parahaemolyticus,NA,Confirmed,47,0,0
1998,January,Hawaii,Private Home/Residence,"Fish, Grouper, Unspecified",NA,Ciguatoxin,NA,Confirmed,3,0,0
1998,January,Hawaii,Private Home/Residence,"Fish, Mahi Mahi",NA,Scombroid toxin,NA,Confirmed,2,0,0
1998,January,Hawaii,Restaurant,"Fish, Ahi",NA,Scombroid toxin,NA,Confirmed,2,0,0
1998,January,Illinois,Restaurant,NA,NA,NA,NA,NA,4,0,0
1998,January,Illinois,NA,NA,NA,NA,NA,NA,11,0,0
1998,January,Illinois,Restaurant,NA,NA,NA,NA,NA,4,1,NA
1998,January,Indiana,Restaurant,NA,NA,Shigella flexneri,Serotype 6,Confirmed,25,3,0
1998,January,Maryland,Private Home/Residence,"Ground Beef, Unspecified",NA,NA,NA,NA,3,NA,0
1998,January,Maryland,Restaurant,Chicken Salad,NA,Clostridium perfringens,NA,Suspected,3,0,0
1998,January,Maryland,Restaurant,"Burrito, Chicken",NA,Salmonella enterica,Enteritidis,Confirmed,4,0,0
1998,January,Maryland,Restaurant,NA,NA,Hepatitis A,NA,Confirmed,21,NA,NA
1998,January,Maryland,Restaurant,NA,NA,Bacillus cereus,NA,Suspected,3,0,0
1998,January,Maryland,Restaurant,NA,NA,NA,NA,NA,2,NA,0
1998,January,Maryland,Restaurant,NA,NA,NA,NA,NA,2,0,0
1998,January,Maryland,Restaurant,"Rice, Unspecified; Chicken, Unspecified; Pork, Unspecified",NA,NA,NA,NA,3,NA,0
1998,January,Maryland,Restaurant,"Cake, Tiramisu; Eggs, Other",NA,Salmonella enterica,Enteritidis,Confirmed,8,0,0
1998,January,Maryland,Private Home/Residence,Chicken Salad,NA,Salmonella enterica,Typhimurium,Confirmed,5,1,0
1998,January,Maryland,Restaurant,Chicken Fried Rice,NA,Clostridium perfringens,NA,Suspected,4,0,0
1998,January,Maryland,Restaurant,NA,NA,NA,NA,NA,4,0,0
1998,January,Massachusetts,Restaurant,"Dips, Unspecified",NA,Shigella sonnei,NA,Confirmed,79,6,0
1998,January,Massachusetts,NA,NA,NA,NA,NA,NA,115,0,0
1998,January,Michigan,NA,"Chicken, Unspecified; Cake, Cheese",NA,NA,NA,NA,2,NA,NA
1998,January,Michigan,NA,"Macaroni And Cheese; Chicken, Unspecified",NA,NA,NA,NA,6,NA,NA
1998,January,Michigan,NA,Multiple Foods,NA,NA,NA,NA,5,NA,NA
1998,January,Michigan,Restaurant,"Eggs, Unspecified; Pork, Bacon; Potato, Unspecified",NA,NA,NA,NA,2,NA,NA
1998,January,Michigan,NA,NA,NA,NA,NA,NA,133,NA,NA
1998,January,Michigan,Restaurant,NA,NA,NA,NA,NA,47,NA,NA
1998,January,Michigan,Restaurant,"Ground Beef, Cheeseburger",NA,NA,NA,NA,4,NA,0
1998,January,Michigan,Restaurant,"Rice, Unspecified; Lettuce, Unspecified",NA,NA,NA,NA,5,0,0
1998,January,Michigan,NA,"Sandwich, Roast Beef",NA,NA,NA,NA,2,0,0
1998,January,Michigan,Restaurant,"Soup Unspecified; Stew/Chili, Unspecified; Steak, Unspecified",NA,NA,NA,NA,3,3,0
1998,January,Michigan,Restaurant,"Pizza, Unspecified",NA,NA,NA,NA,19,NA,NA
1998,January,Michigan,Restaurant,"Eggs, Unspecified",NA,NA,NA,NA,3,NA,NA
1998,January,Minnesota,NA,NA,NA,Shigella sonnei,NA,Confirmed,19,0,0
1998,January,Minnesota,Restaurant,Blue Cheese Dressing,NA,NA,NA,NA,16,0,0
1998,January,Multistate,Private Home/Residence,"Eggnog, Homemade",NA,Salmonella enterica,Enteritidis,Confirmed,4,0,0
